k[h/Mpc]	P[(Jy/sr)^2(Mpc/h)^3]
1.00000000e-03	1.86716977e+11
1.09749877e-03	1.99531265e+11
1.20450354e-03	2.12869631e+11
1.32194115e-03	2.26614779e+11
1.45082878e-03	2.40620995e+11
1.59228279e-03	2.54713422e+11
1.74752840e-03	2.68688677e+11
1.91791026e-03	2.82317074e+11
2.10490414e-03	2.95346729e+11
2.31012970e-03	3.07509698e+11
2.53536449e-03	3.18530173e+11
2.78255940e-03	3.28119426e+11
3.05385551e-03	3.35953508e+11
3.35160265e-03	3.41718670e+11
3.67837977e-03	3.45136193e+11
4.03701726e-03	3.45980923e+11
4.43062146e-03	3.44211619e+11
4.86260158e-03	3.40138051e+11
5.33669923e-03	3.34137140e+11
5.85702082e-03	3.26582324e+11
6.42807312e-03	3.17827145e+11
7.05480231e-03	3.08152299e+11
7.74263683e-03	2.97730538e+11
8.49753436e-03	2.86731886e+11
9.32603347e-03	2.75330738e+11
1.02353102e-02	2.63698424e+11
1.12332403e-02	2.51984722e+11
1.23284674e-02	2.40304990e+11
1.35304777e-02	2.28761828e+11
1.48496826e-02	2.17445079e+11
1.62975083e-02	2.06429431e+11
1.78864953e-02	1.95756982e+11
1.96304065e-02	1.85416577e+11
2.15443469e-02	1.75363540e+11
2.36448941e-02	1.65528965e+11
2.59502421e-02	1.55829852e+11
2.84803587e-02	1.46226798e+11
3.12571585e-02	1.36752226e+11
3.43046929e-02	1.27444559e+11
3.76493581e-02	1.18342651e+11
4.13201240e-02	1.09485736e+11
4.53487851e-02	1.00922066e+11
4.97702356e-02	9.27081615e+10
5.46227722e-02	8.48932652e+10
5.99484250e-02	7.75168399e+10
6.57933225e-02	7.06065971e+10
7.22080902e-02	6.41485245e+10
7.92482898e-02	5.80953948e+10
8.69749003e-02	5.24090073e+10
9.54548457e-02	4.70617227e+10
1.04761575e-01	4.20357490e+10
1.14975700e-01	3.73284896e+10
1.26185688e-01	3.29470394e+10
1.38488637e-01	2.88974446e+10
1.51991108e-01	2.51832151e+10
1.66810054e-01	2.18044869e+10
1.83073828e-01	1.87568527e+10
2.00923300e-01	1.60316149e+10
2.20513074e-01	1.36165949e+10
2.42012826e-01	1.14963826e+10
2.65608778e-01	9.65280372e+09
2.91505306e-01	8.06565239e+09
3.19926714e-01	6.71327403e+09
3.51119173e-01	5.57299457e+09
3.85352859e-01	4.62171878e+09
4.22924287e-01	3.83651669e+09
4.64158883e-01	3.19469730e+09
5.09413801e-01	2.67476900e+09
5.59081018e-01	2.25713914e+09
6.13590727e-01	1.92423596e+09
6.73415066e-01	1.66064233e+09
7.39072203e-01	1.45335904e+09
8.11130831e-01	1.29147046e+09
8.90215085e-01	1.16575335e+09
9.77009957e-01	1.06851644e+09
1.07226722e+00	9.93443650e+08
1.17681195e+00	9.35313077e+08
1.29154967e+00	8.89939939e+08
1.41747416e+00	8.54071365e+08
1.55567614e+00	8.25229588e+08
1.70735265e+00	8.01595667e+08
1.87381742e+00	7.81927685e+08
2.05651231e+00	7.65366613e+08
2.25701972e+00	7.51299305e+08
2.47707636e+00	7.39283473e+08
2.71858824e+00	7.28998830e+08
2.98364724e+00	7.20226628e+08
3.27454916e+00	7.12791247e+08
3.59381366e+00	7.06534764e+08
3.94420606e+00	7.01312263e+08
4.32876128e+00	6.96987334e+08
4.75081016e+00	6.93425411e+08
5.21400829e+00	6.90508644e+08
5.72236766e+00	6.88136676e+08
6.28029144e+00	6.86222983e+08
6.89261210e+00	6.84692451e+08
7.56463328e+00	6.83479701e+08
8.30217568e+00	6.82527908e+08
9.11162756e+00	6.81787942e+08
1.00000000e+01	6.81217710e+08
