k[h/Mpc]	P[(Jy/sr)^2(Mpc/h)^3]
1.00000000e-03	4.47769574e+10
1.09749877e-03	4.84612667e+10
1.20450354e-03	5.23851097e+10
1.32194115e-03	5.65468755e+10
1.45082878e-03	6.09414100e+10
1.59228279e-03	6.55595263e+10
1.74752840e-03	7.03875364e+10
1.91791026e-03	7.54068235e+10
2.10490414e-03	8.05934795e+10
2.31012970e-03	8.59180326e+10
2.53536449e-03	9.13452902e+10
2.78255940e-03	9.68311891e+10
3.05385551e-03	1.02315638e+11
3.35160265e-03	1.07728979e+11
3.67837977e-03	1.12994471e+11
4.03701726e-03	1.18029666e+11
4.43062146e-03	1.22732667e+11
4.86260158e-03	1.26956982e+11
5.33669923e-03	1.30546332e+11
5.85702082e-03	1.33348149e+11
6.42807312e-03	1.35222769e+11
7.05480231e-03	1.36098607e+11
7.74263683e-03	1.36029838e+11
8.49753436e-03	1.35098979e+11
9.32603347e-03	1.33396086e+11
1.02353102e-02	1.31013699e+11
1.12332403e-02	1.28042946e+11
1.23284674e-02	1.24574389e+11
1.35304777e-02	1.20699535e+11
1.48496826e-02	1.16507332e+11
1.62975083e-02	1.12080834e+11
1.78864953e-02	1.07473193e+11
1.96304065e-02	1.02695505e+11
2.15443469e-02	9.77546065e+10
2.36448941e-02	9.26571663e+10
2.59502421e-02	8.74110221e+10
2.84803587e-02	8.20439019e+10
3.12571585e-02	7.66108223e+10
3.43046929e-02	7.11678827e+10
3.76493581e-02	6.57689401e+10
4.13201240e-02	6.04646970e+10
4.53487851e-02	5.53074825e+10
4.97702356e-02	5.03496278e+10
5.46227722e-02	4.56337969e+10
5.99484250e-02	4.11924004e+10
6.57933225e-02	3.70476141e+10
7.22080902e-02	3.32018141e+10
7.92482898e-02	2.96413080e+10
8.69749003e-02	2.63517646e+10
9.54548457e-02	2.33195743e+10
1.04761575e-01	2.05322764e+10
1.14975700e-01	1.79797621e+10
1.26185688e-01	1.56536292e+10
1.38488637e-01	1.35455171e+10
1.51991108e-01	1.16467962e+10
1.66810054e-01	9.94843564e+09
1.83073828e-01	8.44190500e+09
2.00923300e-01	7.11807563e+09
2.20513074e-01	5.96590970e+09
2.42012826e-01	4.97278742e+09
2.65608778e-01	4.12479587e+09
2.91505306e-01	3.40521904e+09
3.19926714e-01	2.79773280e+09
3.51119173e-01	2.28860694e+09
3.85352859e-01	1.86594234e+09
4.22924287e-01	1.51933965e+09
4.64158883e-01	1.24124689e+09
5.09413801e-01	1.02329869e+09
5.59081018e-01	8.55428084e+08
6.13590727e-01	7.27607361e+08
6.73415066e-01	6.30615560e+08
7.39072203e-01	5.55042373e+08
8.11130831e-01	4.94415146e+08
8.90215085e-01	4.45468177e+08
9.77009957e-01	4.06588245e+08
1.07226722e+00	3.76864482e+08
1.17681195e+00	3.55653975e+08
1.29154967e+00	3.40804679e+08
1.41747416e+00	3.30041071e+08
1.55567614e+00	3.21893350e+08
1.70735265e+00	3.15555620e+08
1.87381742e+00	3.10083703e+08
2.05651231e+00	3.04529855e+08
2.25701972e+00	2.98757849e+08
2.47707636e+00	2.93618052e+08
2.71858824e+00	2.89321674e+08
2.98364724e+00	2.85455456e+08
3.27454916e+00	2.81880863e+08
3.59381366e+00	2.78604517e+08
3.94420606e+00	2.75641023e+08
4.32876128e+00	2.72992294e+08
4.75081016e+00	2.70627802e+08
5.21400829e+00	2.68513939e+08
5.72236766e+00	2.66623892e+08
6.28029144e+00	2.64936241e+08
6.89261210e+00	2.63433844e+08
7.56463328e+00	2.62102439e+08
8.30217568e+00	2.60929383e+08
9.11162756e+00	2.59904728e+08
1.00000000e+01	2.59019119e+08
