k[h/Mpc]	P[(Jy/sr)^2(Mpc/h)^3]
1.00000000e-03	6.53873361e+10
1.09749877e-03	7.05701617e+10
1.20450354e-03	7.60411626e+10
1.32194115e-03	8.17885032e+10
1.45082878e-03	8.77946957e+10
1.59228279e-03	9.40360665e+10
1.74752840e-03	1.00482302e+11
1.91791026e-03	1.07096110e+11
2.10490414e-03	1.13833021e+11
2.31012970e-03	1.20641380e+11
2.53536449e-03	1.27462532e+11
2.78255940e-03	1.34218759e+11
3.05385551e-03	1.40785665e+11
3.35160265e-03	1.47019204e+11
3.67837977e-03	1.52765867e+11
4.03701726e-03	1.57868106e+11
4.43062146e-03	1.62175230e+11
4.86260158e-03	1.65556027e+11
5.33669923e-03	1.67894728e+11
5.85702082e-03	1.69095192e+11
6.42807312e-03	1.69087201e+11
7.05480231e-03	1.67884747e+11
7.74263683e-03	1.65643697e+11
8.49753436e-03	1.62540921e+11
9.32603347e-03	1.58747572e+11
1.02353102e-02	1.54422025e+11
1.12332403e-02	1.49681214e+11
1.23284674e-02	1.44587811e+11
1.35304777e-02	1.39203920e+11
1.48496826e-02	1.33593971e+11
1.62975083e-02	1.27821434e+11
1.78864953e-02	1.21930857e+11
1.96304065e-02	1.15934421e+11
2.15443469e-02	1.09835524e+11
2.36448941e-02	1.03633175e+11
2.59502421e-02	9.73253727e+10
2.84803587e-02	9.09408491e+10
3.12571585e-02	8.45516325e+10
3.43046929e-02	7.82296235e+10
3.76493581e-02	7.20411273e+10
4.13201240e-02	6.60452633e+10
4.53487851e-02	6.02915324e+10
4.97702356e-02	5.48183306e+10
5.46227722e-02	4.96543250e+10
5.99484250e-02	4.48191541e+10
6.57933225e-02	4.03238137e+10
7.22080902e-02	3.61612604e+10
7.92482898e-02	3.23104339e+10
8.69749003e-02	2.87517013e+10
9.54548457e-02	2.54679267e+10
1.04761575e-01	2.24446368e+10
1.14975700e-01	1.96722169e+10
1.26185688e-01	1.71441691e+10
1.38488637e-01	1.48534295e+10
1.51991108e-01	1.27919282e+10
1.66810054e-01	1.09503584e+10
1.83073828e-01	9.31757652e+09
2.00923300e-01	7.88105011e+09
2.20513074e-01	6.62751739e+09
2.42012826e-01	5.54306008e+09
2.65608778e-01	4.61326991e+09
2.91505306e-01	3.82350377e+09
3.19926714e-01	3.15922803e+09
3.51119173e-01	2.60620272e+09
3.85352859e-01	2.15063918e+09
4.22924287e-01	1.77937131e+09
4.64158883e-01	1.47981768e+09
5.09413801e-01	1.24035274e+09
5.59081018e-01	1.05059771e+09
6.13590727e-01	9.01445802e+08
6.73415066e-01	7.85067832e+08
7.39072203e-01	6.94945895e+08
8.11130831e-01	6.25661425e+08
8.90215085e-01	5.72692043e+08
9.77009957e-01	5.32317369e+08
1.07226722e+00	5.01521084e+08
1.17681195e+00	4.77805788e+08
1.29154967e+00	4.59203057e+08
1.41747416e+00	4.44242708e+08
1.55567614e+00	4.31855646e+08
1.70735265e+00	4.21307611e+08
1.87381742e+00	4.12213242e+08
2.05651231e+00	4.04334031e+08
2.25701972e+00	3.97482954e+08
2.47707636e+00	3.91515496e+08
2.71858824e+00	3.86311505e+08
2.98364724e+00	3.81726277e+08
3.27454916e+00	3.77640218e+08
3.59381366e+00	3.73971954e+08
3.94420606e+00	3.70667011e+08
4.32876128e+00	3.67691711e+08
4.75081016e+00	3.65038711e+08
5.21400829e+00	3.62705706e+08
5.72236766e+00	3.60684612e+08
6.28029144e+00	3.58959779e+08
6.89261210e+00	3.57508407e+08
7.56463328e+00	3.56302339e+08
8.30217568e+00	3.55310578e+08
9.11162756e+00	3.54501868e+08
1.00000000e+01	3.53846755e+08
