k[h/Mpc]	P[(Jy/sr)^2(Mpc/h)^3]
1.00000000e-03	3.23311936e+08
1.09749877e-03	3.51308637e+08
1.20450354e-03	3.81494140e+08
1.32194115e-03	4.13946559e+08
1.45082878e-03	4.48728727e+08
1.59228279e-03	4.85884430e+08
1.74752840e-03	5.25434382e+08
1.91791026e-03	5.67372009e+08
2.10490414e-03	6.11659130e+08
2.31012970e-03	6.58221654e+08
2.53536449e-03	7.06945436e+08
2.78255940e-03	7.57665508e+08
3.05385551e-03	8.10145540e+08
3.35160265e-03	8.64086512e+08
3.67837977e-03	9.19127531e+08
4.03701726e-03	9.74844656e+08
4.43062146e-03	1.03069420e+09
4.86260158e-03	1.08590746e+09
5.33669923e-03	1.13959995e+09
5.85702082e-03	1.19080805e+09
6.42807312e-03	1.23851105e+09
7.05480231e-03	1.28153329e+09
7.74263683e-03	1.31839972e+09
8.49753436e-03	1.34761051e+09
9.32603347e-03	1.36775291e+09
1.02353102e-02	1.37759103e+09
1.12332403e-02	1.37669073e+09
1.23284674e-02	1.36590675e+09
1.35304777e-02	1.34632387e+09
1.48496826e-02	1.31905615e+09
1.62975083e-02	1.28519170e+09
1.78864953e-02	1.24559460e+09
1.96304065e-02	1.20083141e+09
2.15443469e-02	1.15146941e+09
2.36448941e-02	1.09809028e+09
2.59502421e-02	1.04128457e+09
2.84803587e-02	9.81701972e+08
3.12571585e-02	9.20108641e+08
3.43046929e-02	8.57324055e+08
3.76493581e-02	7.94178640e+08
4.13201240e-02	7.31478953e+08
4.53487851e-02	6.69943340e+08
4.97702356e-02	6.10163630e+08
5.46227722e-02	5.52637696e+08
5.99484250e-02	4.97772480e+08
6.57933225e-02	4.45886200e+08
7.22080902e-02	3.97195756e+08
7.92482898e-02	3.51825402e+08
8.69749003e-02	3.09837673e+08
9.54548457e-02	2.71243434e+08
1.04761575e-01	2.36010886e+08
1.14975700e-01	2.04076146e+08
1.26185688e-01	1.75345545e+08
1.38488637e-01	1.49694228e+08
1.51991108e-01	1.26969953e+08
1.66810054e-01	1.06998056e+08
1.83073828e-01	8.95817647e+07
2.00923300e-01	7.45148693e+07
2.20513074e-01	6.15913160e+07
2.42012826e-01	5.06054554e+07
2.65608778e-01	4.13535543e+07
2.91505306e-01	3.36342698e+07
3.19926714e-01	2.72551249e+07
3.51119173e-01	2.20364386e+07
3.85352859e-01	1.78115717e+07
4.22924287e-01	1.44277563e+07
4.64158883e-01	1.17466134e+07
5.09413801e-01	9.64449569e+06
5.59081018e-01	8.01240787e+06
6.13590727e-01	6.75571577e+06
6.73415066e-01	5.79396987e+06
7.39072203e-01	5.06171585e+06
8.11130831e-01	4.50717955e+06
8.90215085e-01	4.08953209e+06
9.77009957e-01	3.77708476e+06
1.07226722e+00	3.54563005e+06
1.17681195e+00	3.37506281e+06
1.29154967e+00	3.24823804e+06
1.41747416e+00	3.15127468e+06
1.55567614e+00	3.07323971e+06
1.70735265e+00	3.00613208e+06
1.87381742e+00	2.94666151e+06
2.05651231e+00	2.89420627e+06
2.25701972e+00	2.84905234e+06
2.47707636e+00	2.81191031e+06
2.71858824e+00	2.78325040e+06
2.98364724e+00	2.76127966e+06
3.27454916e+00	2.74347977e+06
3.59381366e+00	2.72764909e+06
3.94420606e+00	2.71193419e+06
4.32876128e+00	2.69509796e+06
4.75081016e+00	2.67754228e+06
5.21400829e+00	2.65994399e+06
5.72236766e+00	2.64274097e+06
6.28029144e+00	2.62621228e+06
6.89261210e+00	2.61054401e+06
7.56463328e+00	2.59586846e+06
8.30217568e+00	2.58228167e+06
9.11162756e+00	2.56984868e+06
1.00000000e+01	2.55860486e+06
