k[h/Mpc]	P[(Jy/sr)^2(Mpc/h)^3]
1.00000000e-03	6.92825221e+09
1.09749877e-03	7.51321612e+09
1.20450354e-03	8.14032879e+09
1.32194115e-03	8.81024749e+09
1.45082878e-03	9.52316209e+09
1.59228279e-03	1.02787105e+10
1.74752840e-03	1.10758931e+10
1.91791026e-03	1.19129877e+10
2.10490414e-03	1.27874693e+10
2.31012970e-03	1.36959382e+10
2.53536449e-03	1.46340591e+10
2.78255940e-03	1.55964039e+10
3.05385551e-03	1.65761511e+10
3.35160265e-03	1.75652835e+10
3.67837977e-03	1.85546705e+10
4.03701726e-03	1.95341285e+10
4.43062146e-03	2.04897950e+10
4.86260158e-03	2.13993210e+10
5.33669923e-03	2.22374052e+10
5.85702082e-03	2.29777008e+10
6.42807312e-03	2.35939992e+10
7.05480231e-03	2.40652502e+10
7.74263683e-03	2.43810923e+10
8.49753436e-03	2.45350621e+10
9.32603347e-03	2.45236204e+10
1.02353102e-02	2.43463454e+10
1.12332403e-02	2.40118034e+10
1.23284674e-02	2.35418983e+10
1.35304777e-02	2.29599416e+10
1.48496826e-02	2.22881806e+10
1.62975083e-02	2.15469569e+10
1.78864953e-02	2.07488763e+10
1.96304065e-02	1.98964629e+10
2.15443469e-02	1.89919935e+10
2.36448941e-02	1.80384390e+10
2.59502421e-02	1.70396354e+10
2.84803587e-02	1.60036729e+10
3.12571585e-02	1.49442228e+10
3.43046929e-02	1.38754743e+10
3.76493581e-02	1.28112010e+10
4.13201240e-02	1.17642936e+10
4.53487851e-02	1.07461833e+10
4.97702356e-02	9.76635308e+09
5.46227722e-02	8.83240761e+09
5.99484250e-02	7.95015145e+09
6.57933225e-02	7.12366240e+09
7.22080902e-02	6.35443190e+09
7.92482898e-02	5.64180208e+09
8.69749003e-02	4.98455528e+09
9.54548457e-02	4.38113277e+09
1.04761575e-01	3.82975645e+09
1.14975700e-01	3.32868892e+09
1.26185688e-01	2.87617479e+09
1.38488637e-01	2.47020833e+09
1.51991108e-01	2.10854027e+09
1.66810054e-01	1.78870315e+09
1.83073828e-01	1.50801641e+09
2.00923300e-01	1.26365714e+09
2.20513074e-01	1.05272001e+09
2.42012826e-01	8.72244865e+08
2.65608778e-01	7.19252488e+08
2.91505306e-01	5.90689301e+08
3.19926714e-01	4.83589304e+08
3.51119173e-01	3.95192097e+08
3.85352859e-01	3.22930528e+08
4.22924287e-01	2.64445522e+08
4.64158883e-01	2.17653816e+08
5.09413801e-01	1.80671545e+08
5.59081018e-01	1.51777520e+08
6.13590727e-01	1.29443766e+08
6.73415066e-01	1.12345343e+08
7.39072203e-01	9.93121296e+07
8.11130831e-01	8.93837704e+07
8.90215085e-01	8.18084163e+07
9.77009957e-01	7.59972495e+07
1.07226722e+00	7.14998456e+07
1.17681195e+00	6.80211808e+07
1.29154967e+00	6.53367706e+07
1.41747416e+00	6.32718859e+07
1.55567614e+00	6.17044270e+07
1.70735265e+00	6.05416893e+07
1.87381742e+00	5.96457439e+07
2.05651231e+00	5.88766567e+07
2.25701972e+00	5.81353227e+07
2.47707636e+00	5.73636420e+07
2.71858824e+00	5.65352510e+07
2.98364724e+00	5.57053339e+07
3.27454916e+00	5.49429474e+07
3.59381366e+00	5.42921152e+07
3.94420606e+00	5.37751108e+07
4.32876128e+00	5.33943145e+07
4.75081016e+00	5.31137604e+07
5.21400829e+00	5.28958341e+07
5.72236766e+00	5.27107113e+07
6.28029144e+00	5.25333126e+07
6.89261210e+00	5.23430185e+07
7.56463328e+00	5.21253830e+07
8.30217568e+00	5.18748178e+07
9.11162756e+00	5.15967025e+07
1.00000000e+01	5.13070932e+07
