k[h/Mpc]	P[(Jy/sr)^2(Mpc/h)^3]
1.00000000e-03	4.45087947e+11
1.09749877e-03	4.69560558e+11
1.20450354e-03	4.93893257e+11
1.32194115e-03	5.17589764e+11
1.45082878e-03	5.40095220e+11
1.59228279e-03	5.60808283e+11
1.74752840e-03	5.79099066e+11
1.91791026e-03	5.94332975e+11
2.10490414e-03	6.05899964e+11
2.31012970e-03	6.13248077e+11
2.53536449e-03	6.15919517e+11
2.78255940e-03	6.13760397e+11
3.05385551e-03	6.07255120e+11
3.35160265e-03	5.97037146e+11
3.67837977e-03	5.83749112e+11
4.03701726e-03	5.68013312e+11
4.43062146e-03	5.50357919e+11
4.86260158e-03	5.31153721e+11
5.33669923e-03	5.10767213e+11
5.85702082e-03	4.89572041e+11
6.42807312e-03	4.67935346e+11
7.05480231e-03	4.46179506e+11
7.74263683e-03	4.24550071e+11
8.49753436e-03	4.03272404e+11
9.32603347e-03	3.82552914e+11
1.02353102e-02	3.62572630e+11
1.12332403e-02	3.43485765e+11
1.23284674e-02	3.25410394e+11
1.35304777e-02	3.08413061e+11
1.48496826e-02	2.92511001e+11
1.62975083e-02	2.77677146e+11
1.78864953e-02	2.63820071e+11
1.96304065e-02	2.50760354e+11
2.15443469e-02	2.38272952e+11
2.36448941e-02	2.26109628e+11
2.59502421e-02	2.14022006e+11
2.84803587e-02	2.01886098e+11
3.12571585e-02	1.89761023e+11
3.43046929e-02	1.77737721e+11
3.76493581e-02	1.65917181e+11
4.13201240e-02	1.54401228e+11
4.53487851e-02	1.43256604e+11
4.97702356e-02	1.32509753e+11
5.46227722e-02	1.22186686e+11
5.99484250e-02	1.12313533e+11
6.57933225e-02	1.02913440e+11
7.22080902e-02	9.39759371e+10
7.92482898e-02	8.54644413e+10
8.69749003e-02	7.73562247e+10
9.54548457e-02	6.96422047e+10
1.04761575e-01	6.23248079e+10
1.14975700e-01	5.54253023e+10
1.26185688e-01	4.89746018e+10
1.38488637e-01	4.29969539e+10
1.51991108e-01	3.75082741e+10
1.66810054e-01	3.25155881e+10
1.83073828e-01	2.80160284e+10
2.00923300e-01	2.39980330e+10
2.20513074e-01	2.04433261e+10
2.42012826e-01	1.73279202e+10
2.65608778e-01	1.46232992e+10
2.91505306e-01	1.22976145e+10
3.19926714e-01	1.03168872e+10
3.51119173e-01	8.64601416e+09
3.85352859e-01	7.24977799e+09
4.22924287e-01	6.09383781e+09
4.64158883e-01	5.14515336e+09
5.09413801e-01	4.37299338e+09
5.59081018e-01	3.74944479e+09
6.13590727e-01	3.24947849e+09
6.73415066e-01	2.85109126e+09
7.39072203e-01	2.53532904e+09
8.11130831e-01	2.28611605e+09
8.90215085e-01	2.08996112e+09
9.77009957e-01	1.93569785e+09
1.07226722e+00	1.81427618e+09
1.17681195e+00	1.71859103e+09
1.29154967e+00	1.64307618e+09
1.41747416e+00	1.58332884e+09
1.55567614e+00	1.53588090e+09
1.70735265e+00	1.49802981e+09
1.87381742e+00	1.46770875e+09
2.05651231e+00	1.44333742e+09
2.25701972e+00	1.42370725e+09
2.47707636e+00	1.40789330e+09
2.71858824e+00	1.39517838e+09
2.98364724e+00	1.38498634e+09
3.27454916e+00	1.37684526e+09
3.59381366e+00	1.37036889e+09
3.94420606e+00	1.36524228e+09
4.32876128e+00	1.36120949e+09
4.75081016e+00	1.35806148e+09
5.21400829e+00	1.35562008e+09
5.72236766e+00	1.35373512e+09
6.28029144e+00	1.35228377e+09
6.89261210e+00	1.35116817e+09
7.56463328e+00	1.35031174e+09
8.30217568e+00	1.34965518e+09
9.11162756e+00	1.34915278e+09
1.00000000e+01	1.34876930e+09
