k[h/Mpc]	P[(Jy/sr)^2(Mpc/h)^3]
1.00000000e-03	1.53328743e+10
1.09749877e-03	1.62356250e+10
1.20450354e-03	1.72167375e+10
1.32194115e-03	1.82810922e+10
1.45082878e-03	1.94335065e+10
1.59228279e-03	2.06786538e+10
1.74752840e-03	2.20209702e+10
1.91791026e-03	2.34645477e+10
2.10490414e-03	2.50130139e+10
2.31012970e-03	2.66693995e+10
2.53536449e-03	2.84359919e+10
2.78255940e-03	3.03138256e+10
3.05385551e-03	3.23016214e+10
3.35160265e-03	3.43961537e+10
3.67837977e-03	3.65921720e+10
4.03701726e-03	3.88821652e+10
4.43062146e-03	4.12558044e+10
4.86260158e-03	4.36990698e+10
5.33669923e-03	4.61946259e+10
5.85702082e-03	4.87218342e+10
6.42807312e-03	5.12567191e+10
7.05480231e-03	5.37701207e+10
7.74263683e-03	5.62248983e+10
8.49753436e-03	5.85793363e+10
9.32603347e-03	6.07883289e+10
1.02353102e-02	6.28041931e+10
1.12332403e-02	6.45637391e+10
1.23284674e-02	6.59742549e+10
1.35304777e-02	6.69391532e+10
1.48496826e-02	6.73664129e+10
1.62975083e-02	6.71756175e+10
1.78864953e-02	6.63491631e+10
1.96304065e-02	6.49640214e+10
2.15443469e-02	6.31156911e+10
2.36448941e-02	6.09041147e+10
2.59502421e-02	5.84276827e+10
2.84803587e-02	5.57627277e+10
3.12571585e-02	5.29573413e+10
3.43046929e-02	5.00562703e+10
3.76493581e-02	4.71020776e+10
4.13201240e-02	4.41340406e+10
4.53487851e-02	4.11781618e+10
4.97702356e-02	3.82478652e+10
5.46227722e-02	3.53583249e+10
5.99484250e-02	3.25267597e+10
6.57933225e-02	2.97718356e+10
7.22080902e-02	2.71168657e+10
7.92482898e-02	2.45870906e+10
8.69749003e-02	2.22029779e+10
9.54548457e-02	1.99798406e+10
1.04761575e-01	1.79278534e+10
1.14975700e-01	1.60498271e+10
1.26185688e-01	1.43427990e+10
1.38488637e-01	1.28016992e+10
1.51991108e-01	1.14199118e+10
1.66810054e-01	1.01898338e+10
1.83073828e-01	9.10435360e+09
2.00923300e-01	8.15638517e+09
2.20513074e-01	7.33745133e+09
2.42012826e-01	6.63775150e+09
2.65608778e-01	6.04625540e+09
2.91505306e-01	5.54781975e+09
3.19926714e-01	5.12660231e+09
3.51119173e-01	4.76974008e+09
3.85352859e-01	4.46714281e+09
4.22924287e-01	4.21114897e+09
4.64158883e-01	3.99725197e+09
5.09413801e-01	3.82125325e+09
5.59081018e-01	3.67844285e+09
6.13590727e-01	3.56406129e+09
6.73415066e-01	3.47309452e+09
7.39072203e-01	3.39888767e+09
8.11130831e-01	3.33530542e+09
8.90215085e-01	3.27909873e+09
9.77009957e-01	3.22971117e+09
1.07226722e+00	3.18676549e+09
1.17681195e+00	3.14972618e+09
1.29154967e+00	3.11759810e+09
1.41747416e+00	3.08976956e+09
1.55567614e+00	3.06615729e+09
1.70735265e+00	3.04642633e+09
1.87381742e+00	3.02947663e+09
2.05651231e+00	3.01404804e+09
2.25701972e+00	2.99963546e+09
2.47707636e+00	2.98675661e+09
2.71858824e+00	2.97606560e+09
2.98364724e+00	2.96829467e+09
3.27454916e+00	2.96322233e+09
3.59381366e+00	2.96009011e+09
3.94420606e+00	2.95820373e+09
4.32876128e+00	2.95705816e+09
4.75081016e+00	2.95622743e+09
5.21400829e+00	2.95547525e+09
5.72236766e+00	2.95471684e+09
6.28029144e+00	2.95396029e+09
6.89261210e+00	2.95324191e+09
7.56463328e+00	2.95256102e+09
8.30217568e+00	2.95186765e+09
9.11162756e+00	2.95110387e+09
1.00000000e+01	2.95023418e+09
