k[h/Mpc]	P[(Jy/sr)^2(Mpc/h)^3]
1.00000000e-03	5.28147843e+09
1.09749877e-03	5.73381497e+09
1.20450354e-03	6.22036650e+09
1.32194115e-03	6.74206733e+09
1.45082878e-03	7.29955158e+09
1.59228279e-03	7.89308936e+09
1.74752840e-03	8.52251990e+09
1.91791026e-03	9.18718332e+09
2.10490414e-03	9.88585284e+09
2.31012970e-03	1.06166699e+10
2.53536449e-03	1.13770845e+10
2.78255940e-03	1.21637324e+10
3.05385551e-03	1.29722139e+10
3.35160265e-03	1.37971882e+10
3.67837977e-03	1.46323936e+10
4.03701726e-03	1.54706557e+10
4.43062146e-03	1.63023996e+10
4.86260158e-03	1.71128942e+10
5.33669923e-03	1.78852261e+10
5.85702082e-03	1.86012940e+10
6.42807312e-03	1.92424003e+10
7.05480231e-03	1.97899808e+10
7.74263683e-03	2.02262173e+10
8.49753436e-03	2.05346484e+10
9.32603347e-03	2.07009925e+10
1.02353102e-02	2.07140769e+10
1.12332403e-02	2.05741315e+10
1.23284674e-02	2.02990062e+10
1.35304777e-02	1.99090168e+10
1.48496826e-02	1.94240102e+10
1.62975083e-02	1.88625046e+10
1.78864953e-02	1.82370642e+10
1.96304065e-02	1.75524746e+10
2.15443469e-02	1.68132892e+10
2.36448941e-02	1.60244215e+10
2.59502421e-02	1.51911527e+10
2.84803587e-02	1.43207294e+10
3.12571585e-02	1.34233422e+10
3.43046929e-02	1.25099416e+10
3.76493581e-02	1.15916395e+10
4.13201240e-02	1.06793141e+10
4.53487851e-02	9.78356095e+09
4.97702356e-02	8.91417315e+09
5.46227722e-02	8.07936599e+09
5.99484250e-02	7.28572069e+09
6.57933225e-02	6.53819020e+09
7.22080902e-02	5.83923676e+09
7.92482898e-02	5.18918312e+09
8.69749003e-02	4.58768469e+09
9.54548457e-02	4.03393904e+09
1.04761575e-01	3.52681455e+09
1.14975700e-01	3.06514840e+09
1.26185688e-01	2.64770261e+09
1.38488637e-01	2.27292051e+09
1.51991108e-01	1.93894637e+09
1.66810054e-01	1.64365550e+09
1.83073828e-01	1.38456221e+09
2.00923300e-01	1.15896346e+09
2.20513074e-01	9.64118054e+08
2.42012826e-01	7.97260674e+08
2.65608778e-01	6.55627346e+08
2.91505306e-01	5.36468702e+08
3.19926714e-01	4.37151547e+08
3.51119173e-01	3.55203165e+08
3.85352859e-01	2.88302995e+08
4.22924287e-01	2.34290787e+08
4.64158883e-01	1.91190217e+08
5.09413801e-01	1.57196304e+08
5.59081018e-01	1.30681158e+08
6.13590727e-01	1.10212503e+08
6.73415066e-01	9.45580779e+07
7.39072203e-01	8.26626169e+07
8.11130831e-01	7.36696679e+07
8.90215085e-01	6.69023481e+07
9.77009957e-01	6.18248676e+07
1.07226722e+00	5.80161354e+07
1.17681195e+00	5.51520015e+07
1.29154967e+00	5.29703152e+07
1.41747416e+00	5.12727160e+07
1.55567614e+00	4.99214332e+07
1.70735265e+00	4.88237307e+07
1.87381742e+00	4.79065542e+07
2.05651231e+00	4.71084538e+07
2.25701972e+00	4.63852184e+07
2.47707636e+00	4.57101393e+07
2.71858824e+00	4.50645732e+07
2.98364724e+00	4.44566735e+07
3.27454916e+00	4.39066974e+07
3.59381366e+00	4.34324767e+07
3.94420606e+00	4.30478873e+07
4.32876128e+00	4.27599422e+07
4.75081016e+00	4.25501307e+07
5.21400829e+00	4.23934654e+07
5.72236766e+00	4.22656896e+07
6.28029144e+00	4.21427159e+07
6.89261210e+00	4.20018544e+07
7.56463328e+00	4.18246251e+07
8.30217568e+00	4.16005245e+07
9.11162756e+00	4.13304560e+07
1.00000000e+01	4.10280178e+07
